Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
"complicated 3D character models are widely used in fields of entertainment, virtual reality, medicine etc",background_claim,c_o_m_p_l_i_c_a_t_e_d 3_d c_h_a_r_a_c_t_e_r m_o_d_e_l_s w_i_d_e_l_y f_i_e_l_d_s e_n_t_e_r_t_a_i_n_m_e_n_t v_i_r_t_u_a_l r_e_a_l_i_t_y m_e_d_i_c_i_n_e e_t_c,c_o_m_p_l_i_c_a_t_e_d_ _3_d 3_d_ _c_h_a_r_a_c_t_e_r c_h_a_r_a_c_t_e_r_ _m_o_d_e_l_s m_o_d_e_l_s_ _w_i_d_e_l_y w_i_d_e_l_y_ _f_i_e_l_d_s f_i_e_l_d_s_ _e_n_t_e_r_t_a_i_n_m_e_n_t e_n_t_e_r_t_a_i_n_m_e_n_t_ _v_i_r_t_u_a_l v_i_r_t_u_a_l_ _r_e_a_l_i_t_y r_e_a_l_i_t_y_ _m_e_d_i_c_i_n_e m_e_d_i_c_i_n_e_ _e_t_c,c_o_m_p_l_i_c_a_t_e_d_ _3_d_ _c_h_a_r_a_c_t_e_r 3_d_ _c_h_a_r_a_c_t_e_r_ _m_o_d_e_l_s c_h_a_r_a_c_t_e_r_ _m_o_d_e_l_s_ _w_i_d_e_l_y m_o_d_e_l_s_ _w_i_d_e_l_y_ _f_i_e_l_d_s w_i_d_e_l_y_ _f_i_e_l_d_s_ _e_n_t_e_r_t_a_i_n_m_e_n_t f_i_e_l_d_s_ _e_n_t_e_r_t_a_i_n_m_e_n_t_ _v_i_r_t_u_a_l e_n_t_e_r_t_a_i_n_m_e_n_t_ _v_i_r_t_u_a_l_ _r_e_a_l_i_t_y v_i_r_t_u_a_l_ _r_e_a_l_i_t_y_ _m_e_d_i_c_i_n_e r_e_a_l_i_t_y_ _m_e_d_i_c_i_n_e_ _e_t_c,0,0,,
The range of breathtaking realistic 3D models is only limited by the creativity of artists and resolution of devices,background_claim,r_a_n_g_e b_r_e_a_t_h_t_a_k_i_n_g r_e_a_l_i_s_t_i_c 3_d m_o_d_e_l_s l_i_m_i_t_e_d c_r_e_a_t_i_v_i_t_y a_r_t_i_s_t_s r_e_s_o_l_u_t_i_o_n d_e_v_i_c_e_s,r_a_n_g_e_ _b_r_e_a_t_h_t_a_k_i_n_g b_r_e_a_t_h_t_a_k_i_n_g_ _r_e_a_l_i_s_t_i_c r_e_a_l_i_s_t_i_c_ _3_d 3_d_ _m_o_d_e_l_s m_o_d_e_l_s_ _l_i_m_i_t_e_d l_i_m_i_t_e_d_ _c_r_e_a_t_i_v_i_t_y c_r_e_a_t_i_v_i_t_y_ _a_r_t_i_s_t_s a_r_t_i_s_t_s_ _r_e_s_o_l_u_t_i_o_n r_e_s_o_l_u_t_i_o_n_ _d_e_v_i_c_e_s,r_a_n_g_e_ _b_r_e_a_t_h_t_a_k_i_n_g_ _r_e_a_l_i_s_t_i_c b_r_e_a_t_h_t_a_k_i_n_g_ _r_e_a_l_i_s_t_i_c_ _3_d r_e_a_l_i_s_t_i_c_ _3_d_ _m_o_d_e_l_s 3_d_ _m_o_d_e_l_s_ _l_i_m_i_t_e_d m_o_d_e_l_s_ _l_i_m_i_t_e_d_ _c_r_e_a_t_i_v_i_t_y l_i_m_i_t_e_d_ _c_r_e_a_t_i_v_i_t_y_ _a_r_t_i_s_t_s c_r_e_a_t_i_v_i_t_y_ _a_r_t_i_s_t_s_ _r_e_s_o_l_u_t_i_o_n a_r_t_i_s_t_s_ _r_e_s_o_l_u_t_i_o_n_ _d_e_v_i_c_e_s,0,0,,
a production cannot afford major revisions,background_claim,p_r_o_d_u_c_t_i_o_n a_f_f_o_r_d m_a_j_o_r r_e_v_i_s_i_o_n_s,p_r_o_d_u_c_t_i_o_n_ _a_f_f_o_r_d a_f_f_o_r_d_ _m_a_j_o_r m_a_j_o_r_ _r_e_v_i_s_i_o_n_s,p_r_o_d_u_c_t_i_o_n_ _a_f_f_o_r_d_ _m_a_j_o_r a_f_f_o_r_d_ _m_a_j_o_r_ _r_e_v_i_s_i_o_n_s,0,0,can,not
providing a flexible and efficient solution to animation remains an open problem,own_claim,p_r_o_v_i_d_i_n_g f_l_e_x_i_b_l_e e_f_f_i_c_i_e_n_t s_o_l_u_t_i_o_n a_n_i_m_a_t_i_o_n r_e_m_a_i_n_s o_p_e_n p_r_o_b_l_e_m,p_r_o_v_i_d_i_n_g_ _f_l_e_x_i_b_l_e f_l_e_x_i_b_l_e_ _e_f_f_i_c_i_e_n_t e_f_f_i_c_i_e_n_t_ _s_o_l_u_t_i_o_n s_o_l_u_t_i_o_n_ _a_n_i_m_a_t_i_o_n a_n_i_m_a_t_i_o_n_ _r_e_m_a_i_n_s r_e_m_a_i_n_s_ _o_p_e_n o_p_e_n_ _p_r_o_b_l_e_m,p_r_o_v_i_d_i_n_g_ _f_l_e_x_i_b_l_e_ _e_f_f_i_c_i_e_n_t f_l_e_x_i_b_l_e_ _e_f_f_i_c_i_e_n_t_ _s_o_l_u_t_i_o_n e_f_f_i_c_i_e_n_t_ _s_o_l_u_t_i_o_n_ _a_n_i_m_a_t_i_o_n s_o_l_u_t_i_o_n_ _a_n_i_m_a_t_i_o_n_ _r_e_m_a_i_n_s a_n_i_m_a_t_i_o_n_ _r_e_m_a_i_n_s_ _o_p_e_n r_e_m_a_i_n_s_ _o_p_e_n_ _p_r_o_b_l_e_m,0,0,,
Skeleton Subspace Deformation (SSD) is the predominant approach to character skinning at present,background_claim,s_k_e_l_e_t_o_n s_u_b_s_p_a_c_e d_e_f_o_r_m_a_t_i_o_n s_s_d p_r_e_d_o_m_i_n_a_n_t a_p_p_r_o_a_c_h c_h_a_r_a_c_t_e_r s_k_i_n_n_i_n_g p_r_e_s_e_n_t,s_k_e_l_e_t_o_n_ _s_u_b_s_p_a_c_e s_u_b_s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n d_e_f_o_r_m_a_t_i_o_n_ _s_s_d s_s_d_ _p_r_e_d_o_m_i_n_a_n_t p_r_e_d_o_m_i_n_a_n_t_ _a_p_p_r_o_a_c_h a_p_p_r_o_a_c_h_ _c_h_a_r_a_c_t_e_r c_h_a_r_a_c_t_e_r_ _s_k_i_n_n_i_n_g s_k_i_n_n_i_n_g_ _p_r_e_s_e_n_t,s_k_e_l_e_t_o_n_ _s_u_b_s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n s_u_b_s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n_ _s_s_d d_e_f_o_r_m_a_t_i_o_n_ _s_s_d_ _p_r_e_d_o_m_i_n_a_n_t s_s_d_ _p_r_e_d_o_m_i_n_a_n_t_ _a_p_p_r_o_a_c_h p_r_e_d_o_m_i_n_a_n_t_ _a_p_p_r_o_a_c_h_ _c_h_a_r_a_c_t_e_r a_p_p_r_o_a_c_h_ _c_h_a_r_a_c_t_e_r_ _s_k_i_n_n_i_n_g c_h_a_r_a_c_t_e_r_ _s_k_i_n_n_i_n_g_ _p_r_e_s_e_n_t,0,0,,
Driving 3D models in a natural and believable manner is not trivial,background_claim,d_r_i_v_i_n_g 3_d m_o_d_e_l_s n_a_t_u_r_a_l b_e_l_i_e_v_a_b_l_e m_a_n_n_e_r t_r_i_v_i_a_l,d_r_i_v_i_n_g_ _3_d 3_d_ _m_o_d_e_l_s m_o_d_e_l_s_ _n_a_t_u_r_a_l n_a_t_u_r_a_l_ _b_e_l_i_e_v_a_b_l_e b_e_l_i_e_v_a_b_l_e_ _m_a_n_n_e_r m_a_n_n_e_r_ _t_r_i_v_i_a_l,d_r_i_v_i_n_g_ _3_d_ _m_o_d_e_l_s 3_d_ _m_o_d_e_l_s_ _n_a_t_u_r_a_l m_o_d_e_l_s_ _n_a_t_u_r_a_l_ _b_e_l_i_e_v_a_b_l_e n_a_t_u_r_a_l_ _b_e_l_i_e_v_a_b_l_e_ _m_a_n_n_e_r b_e_l_i_e_v_a_b_l_e_ _m_a_n_n_e_r_ _t_r_i_v_i_a_l,0,1,,not
its ease of implementation,data,e_a_s_e i_m_p_l_e_m_e_n_t_a_t_i_o_n,e_a_s_e_ _i_m_p_l_e_m_e_n_t_a_t_i_o_n,,0,0,,
low cost of computing,data,l_o_w c_o_s_t c_o_m_p_u_t_i_n_g,l_o_w_ _c_o_s_t c_o_s_t_ _c_o_m_p_u_t_i_n_g,l_o_w_ _c_o_s_t_ _c_o_m_p_u_t_i_n_g,0,0,,
"SSD is widely used in games, virtual reality and other realtime applications",background_claim,s_s_d w_i_d_e_l_y g_a_m_e_s v_i_r_t_u_a_l r_e_a_l_i_t_y r_e_a_l_t_i_m_e a_p_p_l_i_c_a_t_i_o_n_s,s_s_d_ _w_i_d_e_l_y w_i_d_e_l_y_ _g_a_m_e_s g_a_m_e_s_ _v_i_r_t_u_a_l v_i_r_t_u_a_l_ _r_e_a_l_i_t_y r_e_a_l_i_t_y_ _r_e_a_l_t_i_m_e r_e_a_l_t_i_m_e_ _a_p_p_l_i_c_a_t_i_o_n_s,s_s_d_ _w_i_d_e_l_y_ _g_a_m_e_s w_i_d_e_l_y_ _g_a_m_e_s_ _v_i_r_t_u_a_l g_a_m_e_s_ _v_i_r_t_u_a_l_ _r_e_a_l_i_t_y v_i_r_t_u_a_l_ _r_e_a_l_i_t_y_ _r_e_a_l_t_i_m_e r_e_a_l_i_t_y_ _r_e_a_l_t_i_m_e_ _a_p_p_l_i_c_a_t_i_o_n_s,0,0,,
artists will edit the geometry of characters in the rest pose to fine-tune animations,background_claim,a_r_t_i_s_t_s e_d_i_t g_e_o_m_e_t_r_y c_h_a_r_a_c_t_e_r_s r_e_s_t p_o_s_e f_i_n_e t_u_n_e a_n_i_m_a_t_i_o_n_s,a_r_t_i_s_t_s_ _e_d_i_t e_d_i_t_ _g_e_o_m_e_t_r_y g_e_o_m_e_t_r_y_ _c_h_a_r_a_c_t_e_r_s c_h_a_r_a_c_t_e_r_s_ _r_e_s_t r_e_s_t_ _p_o_s_e p_o_s_e_ _f_i_n_e f_i_n_e_ _t_u_n_e t_u_n_e_ _a_n_i_m_a_t_i_o_n_s,a_r_t_i_s_t_s_ _e_d_i_t_ _g_e_o_m_e_t_r_y e_d_i_t_ _g_e_o_m_e_t_r_y_ _c_h_a_r_a_c_t_e_r_s g_e_o_m_e_t_r_y_ _c_h_a_r_a_c_t_e_r_s_ _r_e_s_t c_h_a_r_a_c_t_e_r_s_ _r_e_s_t_ _p_o_s_e r_e_s_t_ _p_o_s_e_ _f_i_n_e p_o_s_e_ _f_i_n_e_ _t_u_n_e f_i_n_e_ _t_u_n_e_ _a_n_i_m_a_t_i_o_n_s,0,0,will,
